vg,Jg,ve,Je,Measured Fitted Freq. (THz),AlCl,Type
0, 0, 0, 1, 1146.345461, 35, R
0, 1, 0, 2, 1146.360133, 35, R
0, 2, 0, 3, 1146.374908, 35, R
0, 3, 0, 4, 1146.389650, 35, R
0, 4, 0, 5, 1146.404520, 35, R
0, 5, 0, 6, 1146.419407, 35, R
0, 6, 0, 7, 1146.434375, 35, R
0, 2, 0, 1, 1146.301674, 35, P
0, 3, 0, 2, 1146.287233, 35, P
0, 4, 0, 3, 1146.272820, 35, P
0, 5, 0, 4, 1146.258485, 35, P
0, 6, 0, 5, 1146.244143, 35, P
0, 7, 0, 6, 1146.229946, 35, P
0, 1, 0, 1, 1146.331029, 35, Q
0, 1, 0, 1, 1146.337153, 37, Q
